timestamp,customer_id,customer_name,amount,failure_reason,customer_tier,failure_class,action_taken,variant,reasoning,outcome,exec_log,executed_at,failed_at,msg_english,msg_hinglish
2026-08-26T15:45:39,CUST1042,Arjun Kapoor,10455.09,expired_card,high,non_retryable_send_link,send_payment_update,N/A,"Card expired → sending payment-update link (tier=high, retry_count=2)",success,"[MOCK SMS] Payment-update link sent to CUST1042 (Arjun Kapoor) ₹10,455.09 — delivery confirmed",2026-08-26T15:45:39,2026-07-14T21:40:54,"Hi Arjun Kapoor, your saved card has expired and a payment of ₹10,455.09 could not be collected. Please update your payment method using this secure link: https://pay.razorpay.com/update?cid=MOCK&amount=10455","Namaste Arjun Kapoor! Aapka card expire ho gaya hai aur ₹10,455.09 ka payment collect nahi ho paya. Apna payment method update karne ke liye yeh link use karein: https://pay.razorpay.com/update?cid=MOCK&amount=10455"
2026-08-26T15:45:39,CUST1034,Bhavna Patel,2160.35,card_declined,low,retryable,immediate_retry,B,"Low-tier retryable — first attempt, variant=B (urgency-framed message)",success,"[MOCK API] Retry payment for CUST1034 (Bhavna Patel) ₹2,160.35 — ✓ APPROVED",2026-08-26T15:45:39,2026-08-24T16:10:03,"⚡ Urgent: Bhavna Patel, your ₹2,160.35 payment failed! We're retrying right now. Please ensure your card/account is ready. Act within 2 hours to avoid service interruption.","⚡ Urgent! Bhavna Patel ji, aapka ₹2,160.35 ka payment fail ho gaya hai! Hum abhi retry kar rahe hain — 2 ghante mein apna account check karein, warna service band ho sakti hai."
2026-08-26T15:45:39,CUST1011,Mohit Malhotra,5200.63,bank_timeout,high,retryable,immediate_retry,N/A,"High-tier customer (₹5,200.63) — first auto-attempt, then escalate to human if it fails again",success,"[MOCK API] Retry payment for CUST1011 (Mohit Malhotra) ₹5,200.63 — ✓ APPROVED",2026-08-26T15:45:39,2026-08-06T22:20:13,"Hi Mohit Malhotra, we noticed your payment of ₹5,200.63 could not be processed due to bank timeout. We will automatically retry your payment shortly. No action needed from your end.","Namaste Mohit Malhotra! Aapka ₹5,200.63 ka payment bank timeout ki wajah se process nahi ho paya. Hum jaldi hi dobara try karenge — aapko kuch bhi karne ki zaroorat nahi."
2026-08-26T15:45:39,CUST1056,Nikhil Shah,11646.02,expired_card,high,non_retryable_send_link,send_payment_update,N/A,"Card expired → sending payment-update link (tier=high, retry_count=0)",failed,"[MOCK SMS] Payment-update link sent to CUST1056 (Nikhil Shah) ₹11,646.02 — delivery failed (invalid number)",2026-08-26T15:45:39,2026-08-14T09:35:08,"Hi Nikhil Shah, your saved card has expired and a payment of ₹11,646.02 could not be collected. Please update your payment method using this secure link: https://pay.razorpay.com/update?cid=MOCK&amount=11646","Namaste Nikhil Shah! Aapka card expire ho gaya hai aur ₹11,646.02 ka payment collect nahi ho paya. Apna payment method update karne ke liye yeh link use karein: https://pay.razorpay.com/update?cid=MOCK&amount=11646"
2026-08-26T15:45:39,CUST1049,Simran Mehta,5187.99,insufficient_funds,high,retryable,immediate_retry,N/A,"High-tier customer (₹5,187.99) — first auto-attempt, then escalate to human if it fails again",success,"[MOCK API] Retry payment for CUST1049 (Simran Mehta) ₹5,187.99 — ✓ APPROVED",2026-08-26T15:45:39,2026-07-07T12:55:02,"Hi Simran Mehta, we noticed your payment of ₹5,187.99 could not be processed due to insufficient funds. We will automatically retry your payment shortly. No action needed from your end.","Namaste Simran Mehta! Aapka ₹5,187.99 ka payment insufficient funds ki wajah se process nahi ho paya. Hum jaldi hi dobara try karenge — aapko kuch bhi karne ki zaroorat nahi."
2026-08-26T15:45:39,CUST1047,Divya Mehta,6398.71,card_declined,high,retryable,immediate_retry,N/A,"High-tier customer (₹6,398.71) — first auto-attempt, then escalate to human if it fails again",success,"[MOCK API] Retry payment for CUST1047 (Divya Mehta) ₹6,398.71 — ✓ APPROVED",2026-08-26T15:45:39,2026-08-25T13:39:47,"Hi Divya Mehta, we noticed your payment of ₹6,398.71 could not be processed due to card declined. We will automatically retry your payment shortly. No action needed from your end.","Namaste Divya Mehta! Aapka ₹6,398.71 ka payment card declined ki wajah se process nahi ho paya. Hum jaldi hi dobara try karenge — aapko kuch bhi karne ki zaroorat nahi."
2026-08-26T15:45:39,CUST1055,Meera Reddy,7551.36,expired_card,high,non_retryable_send_link,send_payment_update,N/A,"Card expired → sending payment-update link (tier=high, retry_count=3)",success,"[MOCK SMS] Payment-update link sent to CUST1055 (Meera Reddy) ₹7,551.36 — delivery confirmed",2026-08-26T15:45:39,2026-07-22T19:20:42,"Hi Meera Reddy, your saved card has expired and a payment of ₹7,551.36 could not be collected. Please update your payment method using this secure link: https://pay.razorpay.com/update?cid=MOCK&amount=7551","Namaste Meera Reddy! Aapka card expire ho gaya hai aur ₹7,551.36 ka payment collect nahi ho paya. Apna payment method update karne ke liye yeh link use karein: https://pay.razorpay.com/update?cid=MOCK&amount=7551"
2026-08-26T15:45:39,CUST1070,Yash Agarwal,16242.23,card_declined,high,retryable,immediate_retry,N/A,"High-tier customer (₹16,242.23) — first auto-attempt, then escalate to human if it fails again",success,"[MOCK API] Retry payment for CUST1070 (Yash Agarwal) ₹16,242.23 — ✓ APPROVED",2026-08-26T15:45:39,2026-07-25T15:00:22,"Hi Yash Agarwal, we noticed your payment of ₹16,242.23 could not be processed due to card declined. We will automatically retry your payment shortly. No action needed from your end.","Namaste Yash Agarwal! Aapka ₹16,242.23 ka payment card declined ki wajah se process nahi ho paya. Hum jaldi hi dobara try karenge — aapko kuch bhi karne ki zaroorat nahi."
2026-08-26T15:45:39,CUST1002,Jaya Sharma,10193.59,card_declined,high,retryable,immediate_retry,N/A,"High-tier customer (₹10,193.59) — first auto-attempt, then escalate to human if it fails again",success,"[MOCK API] Retry payment for CUST1002 (Jaya Sharma) ₹10,193.59 — ✓ APPROVED",2026-08-26T15:45:39,2026-07-06T06:14:32,"Hi Jaya Sharma, we noticed your payment of ₹10,193.59 could not be processed due to card declined. We will automatically retry your payment shortly. No action needed from your end.","Namaste Jaya Sharma! Aapka ₹10,193.59 ka payment card declined ki wajah se process nahi ho paya. Hum jaldi hi dobara try karenge — aapko kuch bhi karne ki zaroorat nahi."
2026-08-26T15:45:39,CUST9006,Ananya Malhotra,0.0,card_declined,low,invalid_data,skip_invalid_data,N/A,Invalid data: zero or negative amount — hard skip,skipped,[SKIP]    CUST9006 (Ananya Malhotra) — Invalid data: zero or negative amount — hard skip,2026-08-26T15:45:39,2026-07-02T23:34:03,Recovery attempt skipped for Ananya Malhotra (₹0.00) — amount below recovery cost threshold after multiple retries.,Ananya Malhotra ji ka recovery attempt skip kiya gaya — amount ₹0.00 itna kam hai ki retry ki cost justify nahi hoti.
